test,Abbr,unit,normalrange,group
AFP MOM,,,"Working Days: Everyday
Days to Report: ",urin
Hi Risk,,,"Working Days: Everyday
Days to Report: ",urin
HE4 ,s HE4,Pmol/L,"Working Days: Everyday
Days to Report: 
Premenopausal: up to 70
Postmenopausal: up to 140
Men: Not determinded",urin
Roma Index,s Roma,,"Working Days: Everyday
Days to Report: ",urin
Double Marker,Dabele Marker,,"Working Days: Everyday
Days to Report: ",urin
Tripel Marcer,Tripel Marker,,"Working Days: Everyday
Days to Report: ",urin
Quad Marcer,Coad Marker,,"Working Days: Everyday
Days to Report: ",urin
Free Beta,Free Beta,,"Working Days: Everyday
Days to Report: ",urin
PAPP-A,PAPP-A,,"Working Days: Everyday
Days to Report: ",urin
U E3,UE3,,"Working Days: Everyday
Days to Report: ",urin
Inhibin . A,s-Inhibin,pg/ml,"Working Days: Everyday
Days to Report: 
F(Fol phase): 5.3-115
F(Mid cycle): 90-151
F(Lut phase): 5.9-213
Postmenopausal: up to 5.24",urin
A.F.P,A.F.P,,"Working Days: Everyday
Days to Report: ",urin
Beta HCG .Titer,Beta Titer,,"Working Days: Everyday
Days to Report: ",urin
Free Beta HCG,Free Beta,,"Working Days: Everyday
Days to Report: ",urin
feee cortisol 24,Free cortisol24,micg/24hrs,"Working Days: Everyday
Days to Report: 
1.5 - 63",urin
Sars covid 19 (IgG),Coid IgG,,"Working Days: Everyday
Days to Report: ",urin
Sars covid 19 (IgM),Coid IgM,,"Working Days: Everyday
Days to Report: ",urin
Food Allergens Test,Food Aler,,"Working Days: Everyday
Days to Report: ",urin
Anti Histon,s Histon,,"Working Days: Everyday
Days to Report: ",urin
Covid-19 Neutralization,Covid Neut,,"Working Days: Everyday
Days to Report: ",urin
Leptin,s Leptin,,"Working Days: Everyday
Days to Report: ",urin
Panel Reactive Ab (Fellow),s Panel,,"Working Days: Everyday
Days to Report: ",urin
Interleukin-6,s IL6,pg/ml,"Working Days: Everyday
Days to Report: 
0-7",urin
HLA B5,c HLA B5,,"Working Days: Everyday
Days to Report: ",urin
HLA B27,c HLA B27,,"Working Days: Everyday
Days to Report: ",urin
HLA B51,c HLA B51,,"Working Days: Everyday
Days to Report: ",urin
HLA B52,c HLA B52,,"Working Days: Everyday
Days to Report: ",urin
HLA B8,c HLA B8,,"Working Days: Everyday
Days to Report: ",urin
IGG4,s IGG4,,"Working Days: Everyday
Days to Report: ",urin
B2-Glycoprotein (IgA),B2IGA,,"Working Days: 
Days to Report: ",urin
IL-6,il-6,pg/ml,"Working Days: Everyday
Days to Report: 
0-7",urin
P-ANCA,P-ANCA,AU/ml,"Working Days: Everyday
Days to Report: 
Negative:<12
Borderline:12-18
Positive:>18",urin
C-ANCA,C-ANCA,AU/ml,"Working Days: Everyday
Days to Report: 
Negative: <12
Borderline: 12-18
Positive: >18",urin
galactommanan,,Index,"Working Days: Everyday
Days to Report: 
Up to 0.5",urin
Anti Acetylcholin Receptor,,,"Working Days: Everyday
Days to Report: ",urin
AMA,s AMA,Au/ml,"Working Days: Everyday
Days to Report: 
Negative: <12                
Borderline: 12-18
Positive:  >18                 ",imun
Anti Smooth Muscle,s smooth,Titer,"Working Days: Everyday
Days to Report: 
Up to 1/10",imun
Anti ds DNA,DNA,IU/ml,"Working Days: Everyday
Days to Report: 
Negative: <100
Positive: >=100",imun
Anti RNP,RNP,,"Working Days: Everyday
Days to Report: ",imun
ANCA,s ANCA,,"Working Days: Everyday
Days to Report: ",imun
Anti Cardiolipin (IgG) ,Cardio G,GPL/ml,"Working Days: Everyday
Days to Report: 
Negative:<12.0
Equivocal:12-18
Positive:>18.0",imun
Anti Cardiolipin (IgM),Cardio M,MPL-U/ml,"Working Days: Everyday
Days to Report: 
Negative<12.0
Equivocal:12-18
Positive:>18.0",imun
ANA ,ANA ,C.O.I,"Working Days: Everyday
Days to Report: 
Negative:  <0.8
Equivocal:   0.8 <= Index Value <=1.2
Positive:    >1.2",imun
FANA,FANA,,"Working Days: Everyday
Days to Report: ",imun
Geliadin (IgG),Gliadin G,,"Working Days: Everyday
Days to Report: ",imun
Geliadin (IgA) ,Gliadin A,,"Working Days: Everyday
Days to Report: ",imun
TTG (IgG)  ,Tissue IgG,AU/ml,"Working Days: 
Days to Report: 
Negative <12
Gray zone 12-18
Positive >18",imun
TTG (IgA),Tissue IgA,U/ml,"Working Days: 
Days to Report: 
Negative: <12
Borderline: 12 - 18
Positive: >18",imun
Anti Phospholipid (IgG) ,Phoso G,"AU/mL	","Working Days: 
Days to Report: 
Negative : up to 12
Borderline:12-18
Positive : more than 18",imun
Anti Phospholipid (IgM) ,Phoso M,"Au/ml	","Working Days: 
Days to Report: 
Negative: up to 12
Borderline: 12-18
Positive: more than 18",imun
Endomesial  (IgG),Endomesi G,,"Working Days: Everyday
Days to Report: ",imun
Endomesial  (IgA),Endomesi A,,"Working Days: Everyday
Days to Report: ",imun
ANCA (C),ANCA(C),AU/ml,"Working Days: Everyday
Days to Report: 
Negative:<12
Borderline:12-18
Positive:>18",imun
ANCA (P),ANCA(P),AU/ml,"Working Days: Everyday
Days to Report: 
Negative:<12
Borderline:12-18
Positive:>18",imun
IgG (Serum),IgG,mg/dl,"Working Days: 
Days to Report: 
500 - 1300",imun
IgM (Serum),IgM,mg/dl,"Working Days: 
Days to Report: 
40-160",imun
IgA (Serum) ,IgA,mg/dl,"Working Days: 
Days to Report: 
41-297",imun
IgE (Serum) ,IgE,IU/ml,"Working Days: 
Days to Report: 
0 - 15",imun
IgD (Serum),IgD,,"Working Days: Everyday
Days to Report: ",imun
Lopus Anti Coagulant  ,p Cit Lopus ,,"Working Days: Everyday
Days to Report: ",imun
Anti Listeria (IgG),Lister g,,"Working Days: Everyday
Days to Report: ",imun
Anti Listeria (Igm),Lister M,,"Working Days: Everyday
Days to Report: ",imun
Anti-TG,Anti-TG,,"Working Days: Everyday
Days to Report: 0",imun
B2-Glycoprotein (IgG),s-b2-Glyco igg,AU/ml,"Working Days: 
Days to Report: 
Negative:UP to 12
Borderline:12-18
Positive:More than 18",imun
B2-Glycoprotein (IgM),s B2 Glyco igm,AU/ml,"Working Days: 
Days to Report: 
Negative:up to 12
Borderline:12-18
positive :more then 18",imun
Anti CCP,s Anti CCP,U/ml,"Working Days: 
Days to Report: 
Normal Range <12
Equivocal Range 12-18
Positive Result >18",imun
Anti LKM Ab,s LKMA,Titer,"Working Days: Everyday
Days to Report: 
Negative:<15.0
positive:>=15.0",imun
Anti Ro (SSA),s Anti SSA,AU/ml,"Working Days: Everyday
Days to Report: 
Negative:<12
Borderline:12-18
Positive:>18",imun
Anti LA (SSB),s Anti SSB,Au/ml,"Working Days: Everyday
Days to Report: 
Negative:<12
Borderline:12-18
Positive:>18",imun
ASCA,s ASCA,,"Working Days: Everyday
Days to Report: ",imun
Anti-Liver Cytosol 1 ,s Anti LC-1,,"Working Days: Everyday
Days to Report: ",imun
Anti-Centromer,s Centrome,,"Working Days: Everyday
Days to Report: ",imun
Thyroglobulin,thyroglobulin,,"Working Days: Everyday
Days to Report: ",imun
Anti-Scl-70 ,s Scl-70,,"Working Days: Everyday
Days to Report: ",imun
GBM Ab,s Anti-GBM,,"Working Days: Everyday
Days to Report: ",imun
Immono Electerophoresis Serum,s Immono EP,,"Working Days: Everyday
Days to Report: ",imun
Immono Electerophoresis Urine,u24 h Immono EP,,"Working Days: Everyday
Days to Report: ",imun
Hpylori Ag Stool ,Stool HP,Index,"Working Days: Everyday
Days to Report: 
Negative : <0.9
Equivocal : 0.9-1.1
Positive : >1.1",imun
Giardia Ag,Giar Ag,,"Working Days: Everyday
Days to Report: ",imun
Sudan Black,Sudan Black,,"Working Days: Everyday
Days to Report: ",imun
Calprotectin in Stool,Calprotectin,micg/g,"Working Days: Everyday
Days to Report: 
Normal : up to 50
Mild organic inflammation : 50 - 200
Active organic disease : >200",imun
Fecal Immonue ChemicalOB,Im Ch OB,,"Working Days: Everyday
Days to Report: ",imun
Anti-Jo-1,s Jo-1,,"Working Days: Everyday
Days to Report: ",imun
Anti Smith Ab ,s-Smith Ab ,,"Working Days: Everyday
Days to Report: ",imun
C1 Inhibitor,s-C1 Inhib,,"Working Days: Everyday
Days to Report: ",imun
Anti-Brucella (IgG),s-brucella G,Index,"Working Days: Everyday
Days to Report: 
Negative :up to 9.0
Borderline :9.0 -11
Positive :more than 11",imun
Anti-Brucella (IgM),s-brucella M,Index,"Working Days: Everyday
Days to Report: 
Negative :up to 9.0
Borderline :9.0 -11
Positive :more than 11",imun
C1q,C1q,,"Working Days: Everyday
Days to Report: ",imun
Neuro Myelitis Optica Ab.,s-NMO,,"Working Days: Everyday
Days to Report: ",imun
Hydatic Ab,s-Hydatic Ab,,"Working Days: Everyday
Days to Report: ",imun
M2 PK in Stool,Stool M2 PK,,"Working Days: Everyday
Days to Report: ",imun
Anti MOG Ab,MOG,,"Working Days: Everyday
Days to Report: ",imun
Sars covid 19 (IgG),Coid IgG,,"Working Days: Everyday
Days to Report: ",imun
Sars covid 19 (IgM),Coid IgM,,"Working Days: Everyday
Days to Report: ",imun
Food Allergens Test,Food Aler,,"Working Days: Everyday
Days to Report: ",imun
Anti Histon,s Histon,,"Working Days: Everyday
Days to Report: ",imun
Covid-19 Neutralization,Covid Neut,,"Working Days: Everyday
Days to Report: ",imun
Leptin,s Leptin,,"Working Days: Everyday
Days to Report: ",imun
Panel Reactive Ab (Fellow),s Panel,,"Working Days: Everyday
Days to Report: ",imun
Interleukin-6,s IL6,pg/ml,"Working Days: Everyday
Days to Report: 
0-7",imun
HLA B5,c HLA B5,,"Working Days: Everyday
Days to Report: ",imun
HLA B27,c HLA B27,,"Working Days: Everyday
Days to Report: ",imun
HLA B51,c HLA B51,,"Working Days: Everyday
Days to Report: ",imun
HLA B52,c HLA B52,,"Working Days: Everyday
Days to Report: ",imun
HLA B8,c HLA B8,,"Working Days: Everyday
Days to Report: ",imun
IGG4,s IGG4,,"Working Days: Everyday
Days to Report: ",imun
B2-Glycoprotein (IgA),B2IGA,,"Working Days: 
Days to Report: ",imun
IL-6,il-6,pg/ml,"Working Days: Everyday
Days to Report: 
0-7",imun
P-ANCA,P-ANCA,AU/ml,"Working Days: Everyday
Days to Report: 
Negative:<12
Borderline:12-18
Positive:>18",imun
C-ANCA,C-ANCA,AU/ml,"Working Days: Everyday
Days to Report: 
Negative: <12
Borderline: 12-18
Positive: >18",imun
galactommanan,,Index,"Working Days: Everyday
Days to Report: 
Up to 0.5",imun
Anti Acetylcholin Receptor,,,"Working Days: Everyday
Days to Report: ",imun
Fasting Blood Sugar (FBS),FBS,mg/dl,"Working Days: 
Days to Report: 4
>60 Years:80-115
Pre diabetic:101-125
Diabetic:>=126
GDM:>92",bioch
Glucose 1hrs pp,1h  pp,,"Working Days: Everyday
Days to Report: ",bioch
Glucose 2hrs pp,2h  pp ,,"Working Days: Everyday
Days to Report: ",bioch
GCT Blood Sugar (1h) 50g,GCT 50g,,"Working Days: Everyday
Days to Report: ",bioch
GTT Blood Sugar (2hr) 75 g,GTT 75 gr 2h,,"Working Days: Everyday
Days to Report: ",bioch
ca,GTT 100 gr 2h,,"Working Days: Everyday
Days to Report: ",bioch
Glucose 2h after Lunch,Glu 2 lunch,,"Working Days: Everyday
Days to Report: ",bioch
Glucose 2 after Dinner,Glu 2 Diner,,"Working Days: Everyday
Days to Report: ",bioch
Glucose 5 PM ,BS 5 PM,,"Working Days: Everyday
Days to Report: ",bioch
Blood Urea,Urea,mg/dl,"Working Days: 
Days to Report: 4",bioch
BUN,BUN,,"Working Days: Everyday
Days to Report: ",bioch
Creatinine / Urine,Cr/U,,"Working Days: Everyday
Days to Report: ",bioch
Creatinine,Cr,mg/dl,"Working Days: 
Days to Report: 4
0.4-1.5",bioch
Uric Acid ,U.Acid,,"Working Days: 
Days to Report: 4",bioch
Cholesterol ,Chol,mg/dl,"Working Days: 
Days to Report: 4
normal range:<200
warning range:200-240
abnormal range:>240",bioch
Triglyceride ,TG,mg/dl,"Working Days: 
Days to Report: 4
normal :<150
borderline:150-200
high:200-500
very high>500",bioch
HDL ,HDL,mg/dl,"Working Days: 
Days to Report: 4
high risk<40
low risk>=60",bioch
LDL/HDL Ratio ,LDL/HDL,,"Working Days: Everyday
Days to Report: ",bioch
Cholesterol/HDL Ratio ,Chol/HDL,,"Working Days: Everyday
Days to Report: ",bioch
VLDL,VLDL,,"Working Days: Everyday
Days to Report: ",bioch
LDL,LDL,mg/dl,"Working Days: 
Days to Report: 4
optimal:<100
Near optimal:100-129
Borderline:130-159
High:160-189
Very high:>190",bioch
Albumin Serum,Alb,,"Working Days: Everyday
Days to Report: ",bioch
Total Protein,Prot T,,"Working Days: Everyday
Days to Report: ",bioch
Globulin,Glob,,"Working Days: Everyday
Days to Report: ",bioch
Bilirubin (Total) ,T Bili,mg/dl,"Working Days: 
Days to Report: 4
0.1-1.2",bioch
Bilirubin (Direct),D Bili,mg/dl,"Working Days: 
Days to Report: 4
Up to 0.3",bioch
Bilirubin (Indirect)  ,Ind Bili,,"Working Days: Everyday
Days to Report: ",bioch
Blood Sugar ,B.S,,"Working Days: Everyday
Days to Report: ",bioch
SGOT (AST),SGOT,U/L,"Working Days: 
Days to Report: 4
 Male:<37
Female:<31",bioch
SGPT (ALT) ,SGPT,,"Working Days: 
Days to Report: 4",bioch
Alkaline Phosphatase,AlkP,,"Working Days: 
Days to Report: 4",bioch
Acid Phosphatase (Total),s Acid Pho T,,"Working Days: Everyday
Days to Report: ",bioch
Acid Phosphatase (Prostatic) ,s Acid Pho P,,"Working Days: Everyday
Days to Report: ",bioch
Myoglobin,s Myoglobi,,"Working Days: Everyday
Days to Report: ",bioch
LDH,LDH,,"Working Days: 
Days to Report: 4",bioch
CPK,CPK,U/L,"Working Days: 
Days to Report: 4
Woman 24-170
Men 24-195
New born 468-1200
<= 5 days 195-700
<6 Month 41-350
>6 Month 24-229",bioch
Amylase,Amylase,,"Working Days: Everyday
Days to Report: ",bioch
Aldolase ,Aldolase,,"Working Days: Everyday
Days to Report: ",bioch
Lipase ,Lipase,,"Working Days: Everyday
Days to Report: ",bioch
Ca ,Ca,mg/dl,"Working Days: 
Days to Report: 4
8.6-10.3",bioch
P (Phosphorous),P,mg/dl,"Working Days: 
Days to Report: 4
2.6-4.5",bioch
Na (Sodium),Na,mEq/L,"Working Days: 
Days to Report: 4
135-145",bioch
K (Potassium),K,mEq/L,"Working Days: Everyday
Days to Report: 
3.5-5.5",bioch
Pb (Lead),c Pb,micg/dl,"Working Days: Everyday
Days to Report: 
Normal:<10",bioch
Fe (Iron),Fe,micgr/dl,"Working Days: 
Days to Report: 4
40-120",bioch
TIBC,TIBC,,"Working Days: 
Days to Report: 4",bioch
Per-Albumin,Per-Alb,,"Working Days: Everyday
Days to Report: ",bioch
G.6.P.D,c G6PD,,"Working Days: Everyday
Days to Report: ",bioch
Homocysteine ,sHomocysteine,micmol/l,"Working Days: Everyday
Days to Report: ",bioch
Gamma-Glutamyl Transf ,sGGT,"U/L	","Working Days: Everyday
Days to Report: ",bioch
Li (Lithium),sLit,mEq/L,"Working Days: Everyday
Days to Report: 
Therapatic renge:0.5-1.5",bioch
Hb A1c,HbA1c,%,"Working Days: Everyday
Days to Report: 
Normal < 6
Prediabetic 6 - 6.4
Diabetic > 6.4
              Good Control 6.4 - 7
              Fair   Control 7 - 9.5
              Poor  Control > 9.5",bioch
eAG,eAG,,"Working Days: Everyday
Days to Report: ",bioch
Folic Acid ,s Folic Acid,ng/ml,"Working Days: Everyday
Days to Report: 
Elevated: >20
Normal Range: 6 - 20
Possible Deficiency: 4 - 5.9
Deficiency: <4",bioch
C-peptide,C-pep,ng/ml,"Working Days: Everyday
Days to Report: 
1.1-4.4",bioch
Insulin,Insulin,micIU/ml,"Working Days: Everyday
Days to Report: 
<25",bioch
Mg,s Mg,mg/dl,"Working Days: Everyday
Days to Report: 
1.8 - 2.6",bioch
Mg ,Mg,,"Working Days: 
Days to Report: 4",bioch
Zinc,s ZN,,"Working Days: Everyday
Days to Report: ",bioch
Copper,s Copper,ug/dl,"Working Days: Everyday
Days to Report: 
80-155",bioch
Ceruloplasmin ,sCeruloplas,,"Working Days: Everyday
Days to Report: ",bioch
CPK MB,s CPK MB,,"Working Days: 
Days to Report: 4",bioch
GTT Tolerance Test (75 g),GTT 75g,,"Working Days: Everyday
Days to Report: ",bioch
GTT Blood Sugar (Fasting),GTT BF,,"Working Days: Everyday
Days to Report: ",bioch
GTT Blood Sugar (1 hr),GTT B (1hr),,"Working Days: Everyday
Days to Report: ",bioch
GTT Blood Sugar (2 hr ),GTT B (2hr),,"Working Days: Everyday
Days to Report: ",bioch
GTT Tolerance Test Pragnant (100 g),GTT Preg 100 g,,"Working Days: Everyday
Days to Report: ",bioch
GTT Blood Sugar (Fasting),GTT BF,,"Working Days: Everyday
Days to Report: ",bioch
GTT Blood Sugar (1 hr),GTT B (1 hr),,"Working Days: Everyday
Days to Report: ",bioch
GTT Blood Sugar (2 hr),GTT B (2 hr),,"Working Days: Everyday
Days to Report: ",bioch
GTT Blood Sugar (3 hr),GTT B (3 hr),,"Working Days: Everyday
Days to Report: ",bioch
F,s Apo-A,,"Working Days: Everyday
Days to Report: ",bioch
Apolipoprotein-A,s Apo-A,,"Working Days: Everyday
Days to Report: ",bioch
Transferine,sTransfer,mg/dl,"Working Days: Everyday
Days to Report: 
200-360",bioch
Transferine Saturation,s Trans Satu,,"Working Days: Everyday
Days to Report: ",bioch
Apolipoprotein-B,s Apo-B,,"Working Days: Everyday
Days to Report: ",bioch
Apolipoprotein-B,s Apo-B,,"Working Days: Everyday
Days to Report: ",bioch
Cl (Chloride),s Cl,mmol/L,"Working Days: Everyday
Days to Report: 
95-115",bioch
Troponin I,s Troponin I,ng/ml,"Working Days: Everyday
Days to Report: 
0-0.6",bioch
Haptoglobin,s Haptoglobin,,"Working Days: Everyday
Days to Report: ",bioch
Serum Protein Electrophoresis  ,s Protein EP,,"Working Days: Everyday
Days to Report: ",bioch
Albumin,Albumin,,"Working Days: Everyday
Days to Report: ",bioch
Alpha 1,A1 Glob,,"Working Days: Everyday
Days to Report: ",bioch
Alpha 2,A2 Glob,,"Working Days: Everyday
Days to Report: ",bioch
Beta 1,Beta Glob,,"Working Days: Everyday
Days to Report: ",bioch
Beta 2 ,Beta Glob,,"Working Days: Everyday
Days to Report: ",bioch
Gamma ,Gamma Glob,,"Working Days: Everyday
Days to Report: ",bioch
Vitamin B12 ,B12,pg/ml,"Working Days: Everyday
Days to Report: 
197-771",bioch
Digoxin ,s Digoxin,,"Working Days: Everyday
Days to Report: ",bioch
Ammoniac,s Ammon,µg/dL,"Working Days: 
Days to Report: 
170 - 341",bioch
Lactate,p edta Lact,mg/dl,"Working Days: 
Days to Report: 
4.5-19.8",bioch
Glucose PM,,,"Working Days: Everyday
Days to Report: ",bioch
GFR,GFR,,"Working Days: Everyday
Days to Report: ",bioch
Cyclosporine ,c Cyclospo,,"Working Days: Everyday
Days to Report: ",bioch
Phenylalanine-Plasma ,P edta Pheny,,"Working Days: Everyday
Days to Report: ",bioch
Serotonin,sSeroto,,"Working Days: Everyday
Days to Report: ",bioch
Serum Amino Acid,s Amino Acid,,"Working Days: Everyday
Days to Report: ",bioch
Valproate Sodium,s Na Val,,"Working Days: Everyday
Days to Report: ",bioch
Carbamazepin,s Carmapa,,"Working Days: Everyday
Days to Report: ",bioch
Gabapentin,s Gaba,,"Working Days: Everyday
Days to Report: ",bioch
Phenobarbital,s Phenobar,micg/ml,"Working Days: Everyday
Days to Report: 
15-40",bioch
Lamotrigine,s Lamo,,"Working Days: Everyday
Days to Report: ",bioch
Levetiracetam,s Leveti,,"Working Days: Everyday
Days to Report: ",bioch
Phenytoin  ,s Phenytoin,micg/ml,"Working Days: Everyday
Days to Report: 
10-20",bioch
Topiramate,s Topiramate,,"Working Days: Everyday
Days to Report: ",bioch
Metanephrines Plasma,P Edta Metaneph,,"Working Days: Everyday
Days to Report: ",bioch
Nor Metanephrines Plasma,P Edta normeta,,"Working Days: Everyday
Days to Report: ",bioch
Vitamin E,Vit E,,"Working Days: Everyday
Days to Report: ",bioch
Vitamin A,Vit A,,"Working Days: Everyday
Days to Report: ",bioch
Vitamin C,Vit C,,"Working Days: Everyday
Days to Report: ",bioch
Vitamin B6,Vit B6,,"Working Days: Everyday
Days to Report: ",bioch
VBG,VBG,,"Working Days: Everyday
Days to Report: ",bioch
PH,,,"Working Days: Everyday
Days to Report: ",bioch
PCO2,,,"Working Days: Everyday
Days to Report: ",bioch
po2,,,"Working Days: Everyday
Days to Report: ",bioch
HCO3,,,"Working Days: Everyday
Days to Report: ",bioch
BEecf,,,"Working Days: Everyday
Days to Report: ",bioch
BE,,,"Working Days: Everyday
Days to Report: ",bioch
O2sat,,,"Working Days: Everyday
Days to Report: ",bioch
Ionized Calcium(Ca++),s Cal Ionized,,"Working Days: Everyday
Days to Report: ",bioch
HOMA IR,,,"Working Days: Everyday
Days to Report: ",bioch
BS 6 AM,bs 6 am,,"Working Days: Everyday
Days to Report: ",bioch
BS 8 AM,bs 8 am,,"Working Days: Everyday
Days to Report: ",bioch
BS 11 AM,bs 11 am,,"Working Days: Everyday
Days to Report: ",bioch
BS 4 PM,bs 4 pm,,"Working Days: Everyday
Days to Report: ",bioch
BS 6 PM,bs 6 pm,,"Working Days: Everyday
Days to Report: ",bioch
BS 8 PM,bs 8 pm,,"Working Days: Everyday
Days to Report: ",bioch
BS 9 PM,bs 9 pm,,"Working Days: Everyday
Days to Report: ",bioch
BS 12 PM,bs 12 pm,,"Working Days: Everyday
Days to Report: ",bioch
BUN,,,"Working Days: Everyday
Days to Report: ",bioch
Ferritin,Fe,micgr/L,"Working Days: 
Days to Report: 4
18.2 - 341.2",bioch
NT-PRO-BNP,NT-Pro-BNP,pg/ml,"Working Days: Everyday
Days to Report: 
0-98",bioch
Pyrovate,pyrovate,mg/dL,"Working Days: Everyday
Days to Report: 
0.2-0.9",bioch
Lipoprotein a,LPa,,"Working Days: Everyday
Days to Report: ",bioch
HDL Cholesterol,Chol-HDL,mg/dl,"Working Days: Everyday
Days to Report: 
35-60",bioch
LDL Cholesterol,Chol-LDL,mg/dl,"Working Days: Everyday
Days to Report: 
Normal <100
Borderline 100-140
High >140",bioch
ADA,Adenosindeamina,IU/L,"Working Days: Everyday
Days to Report: 
Csf:up to 9.0
Pleural: up to 30
Other fluids:up to 30",bioch
Blood Amino Acids(HPLC),B.A.A.(HPLC),,"Working Days: Everyday
Days to Report: ",bioch
Urine Sugar chromatography,Urine (HPLC),-,"Working Days: Everyday
Days to Report: ",bioch
Urine Volume (24h) ,24uVolume,,"Working Days: Everyday
Days to Report: ",bioch
Urine Volume(12h) ,12uVolume,,"Working Days: Everyday
Days to Report: ",bioch
Urine MicroAlbumin(24h),24uMicroAlb,,"Working Days: Everyday
Days to Report: ",bioch
Urine MicroAlbumin(12h),12uMic,,"Working Days: Everyday
Days to Report: ",bioch
Urine Creatinine (12h),12u Creat,,"Working Days: Everyday
Days to Report: ",bioch
Urine Creatinine (24h),24u Crea,,"Working Days: Everyday
Days to Report: ",bioch
Urine Urea (24h),24u Urea,,"Working Days: Everyday
Days to Report: ",bioch
Urine Urobilinogen (24h),24u Urobi,,"Working Days: Everyday
Days to Report: ",bioch
Urine Protein (24h),24u Prot,,"Working Days: Everyday
Days to Report: ",bioch
Urine Protein (12h),12u Prot,,"Working Days: Everyday
Days to Report: ",bioch
Urine Uric Acid (24h),24uUricAc,,"Working Days: Everyday
Days to Report: ",bioch
Urine Amylase (24h) ,24uAmylase,,"Working Days: Everyday
Days to Report: ",bioch
Urine Calcium (24h),24uCa,,"Working Days: Everyday
Days to Report: ",bioch
Urine Phosphorus (24h) ,24u-Phos,,"Working Days: Everyday
Days to Report: ",bioch
Urine Potassium (24h),24uK,,"Working Days: Everyday
Days to Report: ",bioch
Urine Sodium (24h),24uNa,,"Working Days: Everyday
Days to Report: ",bioch
Urine Chloride (24h),24u Cl,,"Working Days: Everyday
Days to Report: ",bioch
17- Ketosteroids (24h) ,24u17KETO,,"Working Days: Everyday
Days to Report: ",bioch
17-OH Steroids (24h) ,24u17OH.S,,"Working Days: Everyday
Days to Report: ",bioch
Urine VMA (24h),24uVMA,,"Working Days: Everyday
Days to Report: ",bioch
Urine 5OH Indole Acetic Acid (24h),24u5HIAA,,"Working Days: Everyday
Days to Report: ",bioch
Urine Oxalate (24h),24u-Oxalate,,"Working Days: Everyday
Days to Report: ",bioch
